DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2020-12-01,"15","004",2846
2020-12-01,"16","004",5231
2020-12-01,"17","004",601
2021-01-01,"01","004",291
2021-01-01,"02","004",537
2021-01-01,"03","004",1510
2021-01-01,"04","004",555
2021-01-01,"05","004",753
2021-01-01,"06","004",3721
2021-01-01,"07","004",1275
2021-01-01,"08","004",271
2021-01-01,"09","004",105
2021-01-01,"11","004",107
2021-01-01,"12","004",764
2021-01-01,"13","004",974
2021-01-01,"14","004",1449
2021-01-01,"15","004",2529
2021-01-01,"16","004",4322
2021-01-01,"17","004",555
2021-02-01,"01","004",343
2021-02-01,"02","004",624
2021-02-01,"03","004",1757
2021-02-01,"04","004",669
2021-02-01,"05","004",864
2021-02-01,"06","004",3975
2021-02-01,"07","004",1298
2021-02-01,"08","004",302
2021-02-01,"09","004",127
2021-02-01,"11","004",141
2021-02-01,"12","004",959
2021-02-01,"13","004",1086
2021-02-01,"14","004",1603
2021-02-01,"15","004",2584
2021-02-01,"16","004",4748
2021-02-01,"17","004",613
2021-03-01,"01","004",425
2021-03-01,"02","004",815
2021-03-01,"03","004",2165
2021-03-01,"04","004",790
2021-03-01,"05","004",1055
2021-03-01,"06","004",4894
2021-03-01,"07","004",1570
2021-03-01,"08","004",357
2021-03-01,"09","004",164
2021-03-01,"11","004",203
2021-03-01,"12","004",1263
2021-03-01,"13","004",1238
2021-03-01,"14","004",1963
2021-03-01,"15","004",3295
2021-03-01,"16","004",5704
2021-03-01,"17","004",736
2021-04-01,"01","004",533
2021-04-01,"02","004",1022
2021-04-01,"03","004",2696
2021-04-01,"04","004",848
2021-04-01,"05","004",1211
2021-04-01,"06","004",4966
2021-04-01,"07","004",1700
2021-04-01,"08","004",467
2021-04-01,"09","004",191
2021-04-01,"11","004",218
2021-04-01,"12","004",1436
2021-04-01,"13","004",1294
2021-04-01,"14","004",2181
2021-04-01,"15","004",3426
2021-04-01,"16","004",6337
2021-04-01,"17","004",888
2021-05-01,"01","004",682
2021-05-01,"02","004",1269
2021-05-01,"03","004",3607
2021-05-01,"04","004",1122
2021-05-01,"05","004",1405
2021-05-01,"06","004",5662
2021-05-01,"07","004",2010
2021-05-01,"08","004",605
2021-05-01,"09","004",255
2021-05-01,"11","004",247
2021-05-01,"12","004",1917
2021-05-01,"13","004",1600
2021-05-01,"14","004",2563
2021-05-01,"15","004",4043
2021-05-01,"16","004",7405
2021-05-01,"17","004",974
2021-06-01,"01","004",883
2021-06-01,"02","004",1567
2021-06-01,"03","004",4213
2021-06-01,"04","004",1312
2021-06-01,"05","004",1744
2021-06-01,"06","004",6504
2021-06-01,"07","004",2268
2021-06-01,"08","004",637
2021-06-01,"09","004",303
2021-06-01,"11","004",291
2021-06-01,"12","004",2309
2021-06-01,"13","004",1748
2021-06-01,"14","004",2996
2021-06-01,"15","004",4830
2021-06-01,"16","004",9615
2021-06-01,"17","004",1207
2021-07-01,"01","004",582
2021-07-01,"02","004",942
2021-07-01,"03","004",2413
2021-07-01,"04","004",854
2021-07-01,"05","004",1086
2021-07-01,"06","004",4808
2021-07-01,"07","004",2032
2021-07-01,"08","004",488
2021-07-01,"09","004",214
2021-07-01,"11","004",213
2021-07-01,"12","004",1224
2021-07-01,"13","004",1299
2021-07-01,"14","004",1947
2021-07-01,"15","004",3060
2021-07-01,"16","004",6210
2021-07-01,"17","004",670
2021-08-01,"01","004",434
2021-08-01,"02","004",799
2021-08-01,"03","004",1890
2021-08-01,"04","004",715
2021-08-01,"05","004",970
2021-08-01,"06","004",4186
2021-08-01,"07","004",1854
2021-08-01,"08","004",377
2021-08-01,"09","004",183
2021-08-01,"11","004",165
2021-08-01,"12","004",1125
2021-08-01,"13","004",1145
2021-08-01,"14","004",1774
2021-08-01,"15","004",2830
2021-08-01,"16","004",5360
2021-08-01,"17","004",742
2021-09-01,"01","004",517
2021-09-01,"02","004",751
2021-09-01,"03","004",1949
2021-09-01,"04","004",782
2021-09-01,"05","004",1086
2021-09-01,"06","004",3968
2021-09-01,"07","004",1676
2021-09-01,"08","004",409
2021-09-01,"09","004",192
2021-09-01,"11","004",246
2021-09-01,"12","004",1067
2021-09-01,"13","004",1090
2021-09-01,"14","004",1923
2021-09-01,"15","004",2908
2021-09-01,"16","004",5478
2021-09-01,"17","004",669
2021-10-01,"01","004",435
2021-10-01,"02","004",798
2021-10-01,"03","004",1714
2021-10-01,"04","004",681
2021-10-01,"05","004",895
2021-10-01,"06","004",3961
2021-10-01,"07","004",1652
2021-10-01,"08","004",380
2021-10-01,"09","004",215
2021-10-01,"11","004",196
2021-10-01,"12","004",1044
2021-10-01,"13","004",1090
2021-10-01,"14","004",1656
2021-10-01,"15","004",2698
2021-10-01,"16","004",5058
2021-10-01,"17","004",664
2021-11-01,"01","004",495
2021-11-01,"02","004",809
2021-11-01,"03","004",1982
2021-11-01,"04","004",837
2021-11-01,"05","004",1070
2021-11-01,"06","004",4467
2021-11-01,"07","004",1663
2021-11-01,"08","004",413
2021-11-01,"09","004",178
2021-11-01,"11","004",237
2021-11-01,"12","004",1174
2021-11-01,"13","004",1210
2021-11-01,"14","004",1912
2021-11-01,"15","004",3135
2021-11-01,"16","004",5712
2021-11-01,"17","004",703
2021-12-01,"01","004",399
2021-12-01,"02","004",632
2021-12-01,"03","004",1764
2021-12-01,"04","004",724
2021-12-01,"05","004",894
2021-12-01,"06","004",3899
2021-12-01,"07","004",1381
2021-12-01,"08","004",341
2021-12-01,"09","004",179
2021-12-01,"11","004",156
2021-12-01,"12","004",980
2021-12-01,"13","004",979
2021-12-01,"14","004",1581
2021-12-01,"15","004",2594
2021-12-01,"16","004",4648
2021-12-01,"17","004",598
2022-01-01,"01","004",281
2022-01-01,"02","004",571
2022-01-01,"03","004",1456
2022-01-01,"04","004",544
2022-01-01,"05","004",746
2022-01-01,"06","004",3580
2022-01-01,"07","004",1232
2022-01-01,"08","004",291
2022-01-01,"09","004",102
2022-01-01,"11","004",129
2022-01-01,"12","004",749
2022-01-01,"13","004",820
2022-01-01,"14","004",1361
2022-01-01,"15","004",2285
2022-01-01,"16","004",4062
2022-01-01,"17","004",558
2022-02-01,"01","004",337
2022-02-01,"02","004",597
2022-02-01,"03","004",1641
2022-02-01,"04","004",622
2022-02-01,"05","004",820
2022-02-01,"06","004",3656
2022-02-01,"07","004",1321
2022-02-01,"08","004",295
2022-02-01,"09","004",136
2022-02-01,"11","004",154
2022-02-01,"12","004",930
2022-02-01,"13","004",978
2022-02-01,"14","004",1492
2022-02-01,"15","004",2365
2022-02-01,"16","004",4371
2022-02-01,"17","004",604
2022-03-01,"01","004",433
2022-03-01,"02","004",787
2022-03-01,"03","004",1906
2022-03-01,"04","004",767
2022-03-01,"05","004",923
2022-03-01,"06","004",4331
2022-03-01,"07","004",1462
2022-03-01,"08","004",356
2022-03-01,"09","004",149
2022-03-01,"11","004",209
2022-03-01,"12","004",1039
2022-03-01,"13","004",1157
2022-03-01,"14","004",1776
2022-03-01,"15","004",2823
2022-03-01,"16","004",5332
2022-03-01,"17","004",747
2022-04-01,"01","004",476
2022-04-01,"02","004",879
2022-04-01,"03","004",2078
2022-04-01,"04","004",778
2022-04-01,"05","004",1031
2022-04-01,"06","004",4315
2022-04-01,"07","004",1482
2022-04-01,"08","004",360
2022-04-01,"09","004",150
2022-04-01,"11","004",167
2022-04-01,"12","004",1191
2022-04-01,"13","004",1133
2022-04-01,"14","004",1868
2022-04-01,"15","004",2984
2022-04-01,"16","004",5387
2022-04-01,"17","004",815
2022-05-01,"01","004",596
2022-05-01,"02","004",1100
2022-05-01,"03","004",2910
2022-05-01,"04","004",994
2022-05-01,"05","004",1289
2022-05-01,"06","004",5177
2022-05-01,"07","004",1738
2022-05-01,"08","004",458
2022-05-01,"09","004",241
2022-05-01,"11","004",226
2022-05-01,"12","004",1559
2022-05-01,"13","004",1343
2022-05-01,"14","004",2199
2022-05-01,"15","004",3481
2022-05-01,"16","004",6586
2022-05-01,"17","004",949
2022-06-01,"01","004",720
